BATHRM,HF_BATHRM,ROOMS,BEDRM,AYB,YR_RMDL,STORIES,SALEDATE,SALEMONTH,SALEDAY,SALEYEAR,GBA,CNDTN,LANDAREA,PRICE
2,1,8,3,1890,2013,2,8/15/13 0:00,8,15,2013,1784,Good,1473,1012500
2,1,7,2,1978,2004,2,6/23/92 0:00,6,23,1992,1260,Good,960,235000
2,1,7,3,1978,2004,2,3/23/17 0:00,3,23,2017,1260,Good,944,1325000
2,1,7,2,1978,2011,2,2/28/02 0:00,2,28,2002,1260,Good,944,535000
4,0,12,6,1875,2004,3,12/7/98 0:00,12,7,1998,2677,Good,2250,495000
3,1,10,3,1883,2009,2,2/16/16 0:00,2,16,2016,2054,Good,2050,1605000
5,1,10,5,1885,2006,3,5/25/06 0:00,5,25,2006,3092,Good,2050,1728000
3,1,11,7,1885,2005,3,2/18/05 0:00,2,18,2005,3330,Good,2125,1425000
3,1,10,5,1900,2007,3,1/19/17 0:00,1,19,2017,3062,Very Good,2125,2299000
3,1,10,5,1885,2008,3,6/28/07 0:00,6,28,2007,2352,Good,1425,1200000
4,0,16,7,1885,2009,3,4/24/12 0:00,4,24,2012,2344,Good,1425,1600000
4,0,12,4,1888,2004,3,5/18/18 0:00,5,18,2018,2370,Good,1000,1500000
2,1,7,4,1885,2004,3,12/20/01 0:00,12,20,2001,2718,Good,1275,500000
3,1,9,4,1890,2002,2,11/10/14 0:00,11,10,2014,2204,Average,1800,1049000
2,0,7,3,1890,2010,2,10/31/01 0:00,10,31,2001,1832,Good,1800,289000
2,0,8,2,1890,1999,2,2/22/16 0:00,2,22,2016,1536,Average,1800,801600
3,1,10,4,1900,1991,2,4/29/94 0:00,4,29,1994,1260,Good,1191,365000
3,0,6,3,1912,2003,2,5/28/03 0:00,5,28,2003,1386,Good,1192,810000
3,1,7,3,1912,2014,2,5/17/12 0:00,5,17,2012,1624,Good,1520,1065000
3,0,9,3,1912,1980,2,11/28/01 0:00,11,28,2001,1408,Good,1520,776000
4,0,6,3,1914,2003,3,7/13/17 0:00,7,13,2017,1544,Good,1473,1410000
3,1,9,3,1916,2009,2,12/10/14 0:00,12,10,2014,1516,Good,1621,1250000
3,1,9,4,1916,2004,2,3/8/07 0:00,3,8,2007,1612,Good,1583,1080000
3,1,8,5,1916,2011,2,3/22/13 0:00,3,22,2013,1516,Very Good,1667,1387000
3,1,10,4,1913,2010,3,9/22/03 0:00,9,22,2003,3522,Average,1500,785000
2,1,5,2,1912,2004,2,1/14/05 0:00,1,14,2005,1322,Average,894,725000
2,1,6,3,1912,1996,2,7/15/15 0:00,7,15,2015,1260,Good,1192,1050000
1,0,4,2,1912,1980,2,12/2/10 0:00,12,2,2010,800,Average,600,499000
3,1,5,2,1912,1964,2,8/20/12 0:00,8,20,2012,1800,Good,1138,850000
1,1,4,2,1900,2005,2,6/4/14 0:00,6,4,2014,1376,Good,1562,737500
4,0,9,4,1900,2014,2,5/29/18 0:00,5,29,2018,1932,Good,895,1200000
4,1,9,4,1900,2015,2,7/8/15 0:00,7,8,2015,2392,Good,1197,1050000
1,1,5,2,1900,1992,2,4/13/01 0:00,4,13,2001,1040,Average,1162,99000
3,0,5,3,1900,2011,2,2/7/11 0:00,2,7,2011,984,Good,1523,399999
3,0,8,5,1900,2013,3,6/17/13 0:00,6,17,2013,2037,Average,847,750000
2,0,7,3,1900,2012,2,2/14/18 0:00,2,14,2018,1464,Average,1549,855000
2,1,6,2,1890,1999,2,2/3/99 0:00,2,3,1999,1238,Average,990,118900
